time (s)	coil I (A)	last det (V)	int current (uC)
5082.016209	0.287997	373.046875	-212.109375
5082.018219	0.589986	373.046875	-212.109375
5082.020217	0.780891	373.046875	-212.109375
5082.022219	0.783681	373.046875	-212.109375
5082.024216	0.781613	8.597747	0.451099
5083.036227	0.460236	275.683594	132.031250
5083.038229	0.731278	275.683594	132.031250
5083.042227	0.780527	275.683594	132.031250
5083.044229	0.778650	8.565152	0.599511
5084.130224	0.360527	365.722656	-218.261719
5084.132224	0.658135	365.722656	-218.261719
5084.134225	0.784772	365.722656	-218.261719
5084.136225	0.782471	8.607185	0.442782
5085.138773	0.422916	270.996094	128.320312
5085.140773	0.707181	270.996094	128.320312
5085.142772	0.783417	270.996094	128.320312
5085.144774	0.780668	8.587352	0.656784
5086.190834	0.561172	400.390625	-191.796875
5086.192836	0.773736	400.390625	-191.796875
5086.194837	0.782371	400.390625	-191.796875
5086.196838	0.780053	8.580581	0.612242
5087.208902	0.363506	262.988281	142.480469
5087.210904	0.660532	262.988281	142.480469
5087.212906	0.666094	262.988281	142.480469
5087.214905	0.781147	8.592616	0.518574
5088.294927	0.375252	366.503906	-217.089844
5088.296930	0.670605	366.503906	-217.089844
5088.298929	0.784183	366.503906	-217.089844
5088.300930	0.781661	8.598270	0.572545
5089.316972	0.466597	264.257812	137.500000
5089.320971	0.782768	264.257812	137.500000
5089.322974	0.780207	264.257812	137.500000
5089.324974	0.778321	8.561526	0.685205
5090.362985	0.309603	386.621094	-205.566406
5090.364987	0.610887	386.621094	-205.566406
5090.366988	0.781746	386.621094	-205.566406
5090.368989	0.781896	8.600858	0.519207
5091.394996	0.361456	264.453125	141.503906
5091.396999	0.658662	264.453125	141.503906
5091.398999	0.783479	264.453125	141.503906
5091.400998	0.781202	8.593227	0.552667
5092.473023	0.629627	340.332031	-239.648437
5092.475023	0.782971	340.332031	-239.648437
5092.477022	0.781830	8.600131	0.582430
5093.507447	0.271614	270.214844	124.121094
5093.509451	0.574010	270.214844	124.121094
5093.511449	0.775885	270.214844	124.121094
5093.513451	0.781613	270.214844	124.121094
5093.515450	0.779324	8.572569	0.608400
5094.545471	0.460118	364.843750	-218.066406
5094.547472	0.731285	364.843750	-218.066406
5094.549474	0.783403	364.843750	-218.066406
5094.551472	0.780871	8.589584	0.575586
5095.603484	0.642802	273.437500	126.757812
5095.605487	0.782898	273.437500	126.757812
5095.607486	0.781032	8.591349	0.687044
5096.647982	0.495822	359.082031	-221.289062
5096.649982	0.750115	359.082031	-221.289062
5096.651982	0.782883	359.082031	-221.289062
5096.653983	0.780479	8.585269	0.644832
5097.679980	0.230854	276.953125	127.929687
5097.681982	0.535891	276.953125	127.929687
5097.683983	0.765891	276.953125	127.929687
5097.685982	0.782040	276.953125	127.929687
5097.687981	0.779730	8.577027	0.651933
5098.742522	0.332531	340.429687	-234.277344
5098.744524	0.632524	340.429687	-234.277344
5098.746524	0.782579	340.429687	-234.277344
5098.748524	0.781327	8.594592	0.614967
5099.778584	0.454366	278.906250	122.070312
5099.780584	0.727607	278.906250	122.070312
5099.782585	0.782905	278.906250	122.070312
5099.784584	0.780274	8.583009	0.764431
5100.826598	0.289778	361.425781	-219.140625
5100.828619	0.321075	361.425781	-219.140625
5100.830624	0.779361	361.425781	-219.140625
5100.832625	0.781258	361.425781	-219.140625
5100.834625	0.778984	8.568821	0.650798
5101.870653	0.382667	278.613281	120.605469
5101.872655	0.676536	278.613281	120.605469
5101.874656	0.783707	278.613281	120.605469
5101.876655	0.781090	8.591987	0.699553
5102.918662	0.604555	366.699219	-215.136719
5102.920666	0.780385	366.699219	-215.136719
5102.924662	0.778984	8.568821	0.640400
5103.971174	0.782857	278.906250	122.070312
5103.973176	0.780108	8.581183	0.810795
5105.009183	2.590024	362.988281	-218.750000
5105.015183	0.779166	362.988281	-218.750000
5105.017185	0.777633	8.553967	0.980287
5106.053765	0.393896	275.878906	121.191406
5106.055767	0.685617	275.878906	121.191406
5106.057768	0.784196	275.878906	121.191406
5106.059767	0.781516	8.596675	0.730013
5107.103835	0.736279	346.875000	-232.128906
5107.105835	0.782326	346.875000	-232.128906
5107.107836	0.779697	8.576664	0.775764
5108.143852	0.485867	273.730469	127.539062
5108.145854	0.745118	273.730469	127.539062
5108.147855	0.782745	273.730469	127.539062
5108.149854	0.780285	8.583133	0.793221
5109.201875	0.444226	326.269531	-251.171875
5109.203877	0.721231	326.269531	-251.171875
5109.205876	0.782770	326.269531	-251.171875
5109.207877	0.780041	8.580448	0.769835
5110.235899	0.486346	272.167969	125.000000
5110.237900	0.745121	272.167969	125.000000
5110.239902	0.782396	272.167969	125.000000
5110.241899	0.779793	8.577727	0.869195
5111.282407	0.484935	373.046875	-213.769531
5111.284409	0.744449	373.046875	-213.769531
5111.286409	0.782301	373.046875	-213.769531
5111.288409	0.779880	8.578685	0.768358
5112.320895	0.506176	268.554687	127.832031
5112.322903	0.754384	268.554687	127.832031
5112.324907	0.782010	268.554687	127.832031
5112.326906	0.779606	8.575663	0.847636
5113.389001	0.517103	344.726562	-233.691406
5113.391003	0.759211	344.726562	-233.691406
5113.393003	0.782284	344.726562	-233.691406
5113.395003	0.779942	8.579367	0.814043
5114.408967	0.294962	272.558594	125.488281
5114.410973	0.596560	272.558594	125.488281
5114.412978	0.779818	272.558594	125.488281
5114.414978	0.781524	8.596764	0.941530
5115.486980	0.783482	353.417969	-225.683594
5115.488982	0.780695	353.417969	-225.683594
5115.490982	0.778770	8.566472	0.753977
5116.503912	0.579052	279.589844	121.191406
5116.505914	0.777116	279.589844	121.191406
