crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	3.088173	4460	0.000000
281474976710655.000000	4.842250	4461	5082013184.000000
281474976710655.000000	5.273912	4462	5083032064.000000
281474976710655.000000	2.279693	4463	5084126720.000000
281474976710655.000000	3.069912	4464	5085134848.000000
281474976710655.000000	2.963579	4465	5086185984.000000
281474976710655.000000	3.149249	4466	5087205376.000000
281474976710655.000000	4.844311	4467	5088291328.000000
281474976710655.000000	4.867643	4468	5089312768.000000
281474976710655.000000	3.819842	4469	5090359808.000000
281474976710655.000000	2.965100	4470	5091391488.000000
281474976710655.000000	4.307495	4471	5092467712.000000
281474976710655.000000	5.817120	4472	5093504512.000000
281474976710655.000000	4.787601	4473	5094541312.000000
281474976710655.000000	3.595441	4474	5095598080.000000
281474976710655.000000	6.402732	4475	5096643584.000000
281474976710655.000000	5.037327	4476	5097677312.000000
281474976710655.000000	4.851921	4477	5098739200.000000
281474976710655.000000	5.794228	4478	5099774464.000000
281474976710655.000000	5.343909	4479	5100823552.000000
281474976710655.000000	6.266752	4480	5101867008.000000
281474976710655.000000	4.683922	4481	5102913536.000000
281474976710655.000000	5.506683	4482	5103963136.000000
281474976710655.000000	7.062804	4483	5105004032.000000
281474976710655.000000	5.606147	4484	5106050048.000000
281474976710655.000000	6.379776	4485	5107097600.000000
281474976710655.000000	5.259848	4486	5108139520.000000
281474976710655.000000	6.211160	4487	5109197824.000000
281474976710655.000000	8.050464	4488	5110231552.000000
281474976710655.000000	6.234479	4489	5111278080.000000
281474976710655.000000	5.119301	4490	5112316416.000000
281474976710655.000000	8.035826	4491	5113384448.000000
281474976710655.000000	7.560585	4492	5114405888.000000
281474976710655.000000	7.611085	4493	5115479040.000000
281474976710655.000000	8.285119	4494	5116498944.000000
281474976710655.000000	5.726289	4495	5117565440.000000
281474976710655.000000	6.332171	4496	5118594048.000000
281474976710655.000000	8.527795	4497	5119655424.000000
281474976710655.000000	7.234224	4498	5120688128.000000
281474976710655.000000	9.162840	4499	5121742848.000000
281474976710655.000000	7.857213	4500	5122781696.000000
281474976710655.000000	6.783906	4501	5123835904.000000
281474976710655.000000	8.489060	4502	5124878848.000000
281474976710655.000000	7.482480	4503	5125925376.000000
281474976710655.000000	8.217963	4504	5126967808.000000
281474976710655.000000	9.224404	4505	5128016896.000000
281474976710655.000000	7.935915	4506	5129053696.000000
281474976710655.000000	9.486179	4507	5130119680.000000
281474976710655.000000	9.604245	4508	5131145216.000000
281474976710655.000000	8.474911	4509	5132208128.000000
281474976710655.000000	8.900658	4510	5133237248.000000
281474976710655.000000	9.617671	4511	5134300160.000000
281474976710655.000000	8.434343	4512	5135328256.000000
281474976710655.000000	10.477132	4513	5136394240.000000
281474976710655.000000	9.148549	4514	5137418752.000000
281474976710655.000000	8.834723	4515	5138486272.000000
281474976710655.000000	9.236889	4516	5139512832.000000
281474976710655.000000	9.320501	4517	5140576256.000000
281474976710655.000000	9.529812	4518	5141603328.000000
281474976710655.000000	9.131217	4519	5142667776.000000
281474976710655.000000	9.580790	4520	5143698432.000000
281474976710655.000000	10.635986	4521	5144758272.000000
281474976710655.000000	9.250753	4522	5145786880.000000
281474976710655.000000	10.573284	4523	5146852864.000000
281474976710655.000000	10.268716	4524	5147878912.000000
281474976710655.000000	10.401641	4525	5148941824.000000
281474976710655.000000	9.596042	4526	5149972992.000000
281474976710655.000000	11.463582	4527	5151032320.000000
281474976710655.000000	10.905406	4528	5152067072.000000
281474976710655.000000	10.018152	4529	5153120256.000000
281474976710655.000000	10.756405	4530	5154162176.000000
281474976710655.000000	11.949083	4531	5155209728.000000
281474976710655.000000	10.509832	4532	5156256256.000000
281474976710655.000000	10.355802	4533	5157302784.000000
281474976710655.000000	11.966686	4534	5158347264.000000
281474976710655.000000	11.634974	4535	5159391232.000000
281474976710655.000000	11.087975	4536	5160436736.000000
281474976710655.000000	12.190638	4537	5161486848.000000
281474976710655.000000	11.777189	4538	5162523648.000000
281474976710655.000000	11.450603	4539	5163581952.000000
281474976710655.000000	12.736357	4540	5164614656.000000
281474976710655.000000	11.966720	4541	5165674496.000000
281474976710655.000000	11.950941	4542	5166705664.000000
281474976710655.000000	12.243044	4543	5167767040.000000
281474976710655.000000	11.757434	4544	5168796160.000000
281474976710655.000000	11.522147	4545	5169856000.000000
281474976710655.000000	12.226279	4546	5170890240.000000
281474976710655.000000	13.246908	4547	5171945984.000000
281474976710655.000000	12.548100	4548	5172982272.000000
281474976710655.000000	12.544481	4549	5174035968.000000
281474976710655.000000	13.141601	4550	5175076352.000000
281474976710655.000000	12.802082	4551	5176127488.000000
281474976710655.000000	12.534176	4552	5177165824.000000
281474976710655.000000	13.366369	4553	5178217472.000000
281474976710655.000000	14.124217	4554	5179262464.000000
281474976710655.000000	13.062922	4555	5180307456.000000
281474976710655.000000	13.753901	4556	5181349888.000000
281474976710655.000000	13.565357	4557	5182400512.000000
281474976710655.000000	14.731788	4558	5183441408.000000
281474976710655.000000	13.869841	4559	5184491520.000000
281474976710655.000000	13.124478	4560	5185531904.000000
281474976710655.000000	14.282706	4561	5186584576.000000
281474976710655.000000	13.829164	4562	5187621376.000000
281474976710655.000000	14.444563	4563	5188677120.000000
281474976710655.000000	13.813435	4564	5189711360.000000
281474976710655.000000	13.171410	4565	5190770176.000000
281474976710655.000000	14.597450	4566	5191801856.000000
281474976710655.000000	13.521934	4567	5192861696.000000
281474976710655.000000	13.556393	4568	5193892864.000000
281474976710655.000000	13.473111	4569	5194952704.000000
281474976710655.000000	13.209253	4570	5195985408.000000
281474976710655.000000	16.209925	4571	5197042688.000000
281474976710655.000000	14.745680	4572	5198077952.000000
281474976710655.000000	16.370972	4573	5199131136.000000
281474976710655.000000	13.884875	4574	5200171520.000000
281474976710655.000000	16.078619	4575	5201220608.000000
281474976710655.000000	15.636323	4576	5202264064.000000
281474976710655.000000	14.269481	4577	5203310080.000000
281474976710655.000000	14.716489	4578	5204356608.000000
281474976710655.000000	15.795042	4579	5205400576.000000
281474976710655.000000	17.257812	4580	5206447104.000000
281474976710655.000000	15.832263	4581	5207491584.000000
281474976710655.000000	15.695263	4582	5208536576.000000
281474976710655.000000	15.643755	4583	5209585152.000000
281474976710655.000000	15.316266	4584	5210626048.000000
281474976710655.000000	15.476032	4585	5211677184.000000
281474976710655.000000	15.447462	4586	5212716032.000000
281474976710655.000000	14.780948	4587	5213769728.000000
281474976710655.000000	15.863211	4588	5214806016.000000
281474976710655.000000	16.374411	4589	5215860736.000000
281474976710655.000000	16.099239	4590	5216896000.000000
281474976710655.000000	18.102850	4591	5217952768.000000
281474976710655.000000	15.491308	4592	5218986496.000000
281474976710655.000000	18.257626	4593	5220043776.000000
281474976710655.000000	17.848883	4594	5221077504.000000
281474976710655.000000	16.109135	4595	5222134784.000000
281474976710655.000000	16.426819	4596	5223169024.000000
281474976710655.000000	16.125792	4597	5224224768.000000
281474976710655.000000	17.967287	4598	5225260544.000000
281474976710655.000000	14.598500	4599	5226315264.000000
281474976710655.000000	14.904807	4600	5227352064.000000
281474976710655.000000	16.255642	4601	5228404736.000000
281474976710655.000000	17.293118	4602	5229445120.000000
281474976710655.000000	16.919247	4603	5230494720.000000
281474976710655.000000	18.388992	4604	5231537664.000000
281474976710655.000000	17.445827	4605	5232584192.000000
281474976710655.000000	15.424444	4606	5233630208.000000
281474976710655.000000	19.014263	4607	5234674176.000000
281474976710655.000000	18.699574	4608	5235720704.000000
281474976710655.000000	17.291899	4609	5236765184.000000
281474976710655.000000	18.821039	4610	5237811712.000000
281474976710655.000000	15.741578	4611	5238856192.000000
281474976710655.000000	18.751135	4612	5239901184.000000
281474976710655.000000	19.867840	4613	5240948224.000000
281474976710655.000000	15.727555	4614	5241990144.000000
281474976710655.000000	20.632420	4615	5243041280.000000
281474976710655.000000	15.774966	4616	5244080128.000000
281474976710655.000000	20.063221	4617	5245133824.000000
281474976710655.000000	16.655119	4618	5246169088.000000
281474976710655.000000	18.332592	4619	5247225856.000000
281474976710655.000000	14.101745	4620	5248259072.000000
281474976710655.000000	17.743309	4621	5249316864.000000
281474976710655.000000	15.273594	4622	5250349568.000000
281474976710655.000000	19.258692	4623	5251407872.000000
281474976710655.000000	20.306755	4624	5252440576.000000
281474976710655.000000	18.092506	4625	5253497856.000000
281474976710655.000000	19.547171	4626	5254532096.000000
281474976710655.000000	15.246685	4627	5255588352.000000
281474976710655.000000	18.227129	4628	5256622592.000000
281474976710655.000000	18.850166	4629	5257678848.000000
281474976710655.000000	16.752317	4630	5258713600.000000
281474976710655.000000	18.077579	4631	5259769344.000000
281474976710655.000000	22.824749	4632	5260804608.000000
281474976710655.000000	17.587008	4633	5261859840.000000
281474976710655.000000	18.917309	4634	5262895616.000000
281474976710655.000000	18.598009	4635	5263950848.000000
281474976710655.000000	15.544620	4636	5264985600.000000
281474976710655.000000	17.385052	4637	5266041344.000000
281474976710655.000000	17.372709	4638	5267077632.000000
281474976710655.000000	18.411064	4639	5268132864.000000
281474976710655.000000	19.476843	4640	5269166592.000000
281474976710655.000000	21.175531	4641	5270224384.000000
281474976710655.000000	21.338152	4642	5271257600.000000
281474976710655.000000	18.247360	4643	5272314880.000000
281474976710655.000000	17.737469	4644	5273348096.000000
281474976710655.000000	20.922045	4645	5274405376.000000
281474976710655.000000	16.883177	4646	5275439616.000000
281474976710655.000000	18.885633	4647	5276495360.000000
281474976710655.000000	17.415001	4648	5277531136.000000
281474976710655.000000	16.575171	4649	5278584320.000000
281474976710655.000000	18.629610	4650	5279623168.000000
281474976710655.000000	18.567595	4651	5280673792.000000
281474976710655.000000	18.030909	4652	5281715712.000000
281474976710655.000000	20.809959	4653	5282763264.000000
281474976710655.000000	20.229626	4654	5283807232.000000
281474976710655.000000	20.575634	4655	5284852736.000000
281474976710655.000000	18.487675	4656	5285898752.000000
281474976710655.000000	24.447647	4657	5286942720.000000
281474976710655.000000	20.354092	4658	5287989760.000000
